CNPJ_CIA,DT_REFER,ORIGEM,Target,Horizonte,Algoritmo,y_pred
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_EBITDA_ITR_T2,_ITR_T2,GradientBoosting,3555524.992522303
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_EBITDA_ITR_T3,_ITR_T3,GradientBoosting,5802053.92235139
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_EBITDA_ITR_T3,_ITR_T3,GradientBoosting,6176542.221622207
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_EBITDA_ITR_T3,_ITR_T3,GradientBoosting,5309993.328476051
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_EBITDA_ITR_T3,_ITR_T3,GradientBoosting,3393732.368170204
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_EBITDA_DFP,_DFP,GradientBoosting,21790923.88925789
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_EBITDA_DFP,_DFP,GradientBoosting,25373521.061205048
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_EBITDA_DFP,_DFP,GradientBoosting,15567726.31607211
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_EBITDA_DFP,_DFP,GradientBoosting,5986696.768578389
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T1,_ITR_T1,RandomForest,131442564.44685227
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T1,_ITR_T1,RandomForest,365114801.45682734
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T1,_ITR_T1,RandomForest,75377253.51625209
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T1,_ITR_T1,RandomForest,45146166.45263535
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T2,_ITR_T2,GradientBoosting,21703285.29990522
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T2,_ITR_T2,GradientBoosting,80603324.43795468
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T2,_ITR_T2,GradientBoosting,12179707.49871656
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T2,_ITR_T2,GradientBoosting,10447182.996849624
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T3,_ITR_T3,GradientBoosting,21296879.256449282
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T3,_ITR_T3,GradientBoosting,65968758.81790616
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T3,_ITR_T3,GradientBoosting,17819082.915555667
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPA_1_ITR_T3,_ITR_T3,GradientBoosting,15346680.848160537
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPA_1_DFP,_DFP,GradientBoosting,23075128.3052326
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPA_1_DFP,_DFP,GradientBoosting,82934883.32746133
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPA_1_DFP,_DFP,GradientBoosting,18568565.739423282
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPA_1_DFP,_DFP,GradientBoosting,14370937.52734048
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T1,_ITR_T1,GradientBoosting,35025060.89284829
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T1,_ITR_T1,GradientBoosting,80474879.11874534
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T1,_ITR_T1,GradientBoosting,29378180.96078213
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T1,_ITR_T1,GradientBoosting,27848066.16291785
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T2,_ITR_T2,RandomForest,7244894.607461151
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T2,_ITR_T2,RandomForest,10130463.110605765
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T2,_ITR_T2,RandomForest,2488744.466536388
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T2,_ITR_T2,RandomForest,7135179.159098077
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T3,_ITR_T3,GradientBoosting,7448798.846882127
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T3,_ITR_T3,GradientBoosting,9990466.341496466
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T3,_ITR_T3,GradientBoosting,5304501.198710601
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_ITR_T3,_ITR_T3,GradientBoosting,6923901.986317501
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_DFP,_DFP,GradientBoosting,8609263.53259915
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_DFP,_DFP,GradientBoosting,19997301.282762732
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_DFP,_DFP,GradientBoosting,8114078.370306865
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPA_1.01_DFP,_DFP,GradientBoosting,7879314.914630038
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T1,_ITR_T1,RandomForest,12370587.282863813
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T1,_ITR_T1,RandomForest,70892557.75487907
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T1,_ITR_T1,RandomForest,10900074.575834371
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T1,_ITR_T1,RandomForest,17662213.777353622
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T2,_ITR_T2,RandomForest,3361864.3811727767
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T2,_ITR_T2,RandomForest,6759465.418493438
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T2,_ITR_T2,RandomForest,2028503.6505564593
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T2,_ITR_T2,RandomForest,3340398.8592398125
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T3,_ITR_T3,GradientBoosting,3706012.635753059
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_BPP_2.01_ITR_T3,_ITR_T3,GradientBoosting,6830529.610888446
