CNPJ_CIA,NOME_CIA,ANO,SETOR,ORIGEM,DT_REFER,X1_CG_AT,X2_PL_AT,X3_EBIT_AT,X4_PL_PT,altman_z_pp,zona_altman,comp_ok
02.429.144/0001-93,CPFL Energia,2017,Energia,DFP,2017-12-31 02:00:00,-0.04354043629480401,1.0,0.3090645543608939,1.8295082408923684,6.972272196148279,Segura,4
02.429.144/0001-93,CPFL Energia,2018,Energia,ITR,2018-03-31 03:00:00,-0.020933573454965982,1.0,0.08305618551303019,1.8708567050149711,5.6452128650487055,Segura,4
02.429.144/0001-93,CPFL Energia,2018,Energia,ITR,2018-06-30 03:00:00,-0.0010028471585357814,1.0,0.1605756702810595,1.9260808336756414,6.354874702288149,Segura,4
02.429.144/0001-93,CPFL Energia,2018,Energia,ITR,2018-09-30 03:00:00,0.02559842065784124,1.0,0.23659557766124042,1.891881162613533,7.004323142143185,Segura,4
02.429.144/0001-93,CPFL Energia,2018,Energia,DFP,2018-12-31 02:00:00,0.023386596031937247,1.0,0.33437095267572625,2.0151091907560397,7.776253522244231,Segura,4
02.429.144/0001-93,CPFL Energia,2019,Energia,ITR,2019-03-31 03:00:00,0.029783047964262926,1.0,0.08807224026592775,1.9251206582459606,6.068598940390857,Segura,4
02.429.144/0001-93,CPFL Energia,2019,Energia,ITR,2019-06-30 03:00:00,0.10956204978340818,1.0,0.16163435349520935,1.8078660489450094,6.963169253459224,Segura,4
02.429.144/0001-93,CPFL Energia,2019,Energia,ITR,2019-09-30 03:00:00,0.021467213546224974,1.0,0.26714005492385107,1.8557269050846186,7.144519340290364,Segura,4
02.429.144/0001-93,CPFL Energia,2019,Energia,DFP,2019-12-31 03:00:00,0.006232591629625948,1.0,0.37348379167042606,1.8877903714337132,7.792876771121008,Segura,4
02.429.144/0001-93,CPFL Energia,2020,Energia,ITR,2020-03-31 03:00:00,0.07362085731273033,1.0,0.09241218445972152,1.9855324309689606,6.448771756058248,Segura,4
02.429.144/0001-93,CPFL Energia,2020,Energia,ITR,2020-06-30 03:00:00,0.06463344347816609,1.0,0.1476976265751003,1.825361072131975,6.593152565540017,Segura,4
02.429.144/0001-93,CPFL Energia,2020,Energia,ITR,2020-09-30 03:00:00,0.0580731094428281,1.0,0.24601009834302587,1.8220900105142035,7.207341969849999,Segura,4
02.429.144/0001-93,CPFL Energia,2020,Energia,DFP,2020-12-31 03:00:00,-0.012099077595719574,1.0,0.3535815528429782,1.7145223320840721,7.356946534765168,Segura,4
02.429.144/0001-93,CPFL Energia,2021,Energia,ITR,2021-03-31 03:00:00,-0.003177813269908435,1.0,0.09144666443112337,1.7495347180521936,5.690686583881353,Segura,4
02.429.144/0001-93,CPFL Energia,2021,Energia,ITR,2021-06-30 03:00:00,-0.01828666014779711,1.0,0.17818087730525345,2.016182756039354,6.454406898763075,Segura,4
02.429.144/0001-93,CPFL Energia,2021,Energia,ITR,2021-09-30 03:00:00,0.03117614886048699,1.0,0.2668685316867863,2.1556912838052873,7.52134791745555,Segura,4
02.429.144/0001-93,CPFL Energia,2021,Energia,DFP,2021-12-31 03:00:00,0.03990913292368749,1.0,0.3447613046109976,2.2247906810304783,8.174630094047297,Segura,4
02.429.144/0001-93,CPFL Energia,2022,Energia,ITR,2022-03-31 03:00:00,0.0519471435666016,1.0,0.09650098577481139,2.160151077053396,6.5174185171097045,Segura,4
02.429.144/0001-93,CPFL Energia,2022,Energia,ITR,2022-06-30 03:00:00,-0.013664807345451101,1.0,0.2015522786183915,2.2101028400541383,6.845398158186277,Segura,4
02.429.144/0001-93,CPFL Energia,2022,Energia,ITR,2022-09-30 03:00:00,-0.01589995588674373,1.0,0.32054153128519647,2.1365304545204964,7.553092356866002,Segura,4
02.429.144/0001-93,CPFL Energia,2022,Energia,DFP,2022-12-31 03:00:00,0.004228834473679583,1.0,0.4331973366178806,2.1945719001097994,8.503127751334786,Segura,4
02.429.144/0001-93,CPFL Energia,2023,Energia,ITR,2023-03-31 03:00:00,0.026238752379011878,1.0,0.11523862962513122,2.1170000267289817,6.4293798347526305,Segura,4
02.429.144/0001-93,CPFL Energia,2023,Energia,ITR,2023-06-30 03:00:00,-0.021957719788185663,1.0,0.2190854831656046,1.9434201351062137,6.628802946923889,Segura,4
02.429.144/0001-93,CPFL Energia,2023,Energia,ITR,2023-09-30 03:00:00,-0.04155395609809014,1.0,0.3281822347192798,1.8689897912833362,7.155229946157592,Segura,4
02.429.144/0001-93,CPFL Energia,2023,Energia,DFP,2023-12-31 03:00:00,-0.022818820879108727,1.0,0.43546617224231904,1.8855534089163712,8.016472291863622,Segura,4
02.429.144/0001-93,CPFL Energia,2024,Energia,ITR,2024-03-31 03:00:00,-0.02056936295299712,1.0,0.12536779039744622,1.8508523585514263,5.910931506978175,Segura,4
02.429.144/0001-93,CPFL Energia,2024,Energia,ITR,2024-06-30 03:00:00,-0.0017154242577937483,1.0,0.22587564262219315,2.068288232460782,6.938333779373831,Segura,4
02.429.144/0001-93,CPFL Energia,2024,Energia,ITR,2024-09-30 03:00:00,0.02133429645363411,1.0,0.3243304223709782,2.068089257186623,7.750947143114767,Segura,4
