cnpj,empresa,setor,ano_base,target,variavel,algoritmo,schema_len,n_feats_validos,n_perturbadas,modo,y_base,media_mc,std_mc,cv,p5,p50,p95,largura_ic,p_negativo,n_sim,sigma
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,1438636.892776865,2066500.5597654027,649260.7515932535,0.31418368048589357,1294133.289898949,1924973.4957732796,3419497.7803424443,2125364.490443495,0.0,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,8657120.235859934,9526046.416942857,1989270.945235372,0.20882440187329868,7013573.560279153,9228109.189736785,13347830.179814437,6334256.619535284,,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,2430.499423739256,2516.6679885431213,1332.8356331414038,0.5296032846640893,128.66087724731952,2347.8445829570333,5321.49674244072,5192.8358651934,0.0,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6355394.247989855,9616025.274901569,1816207.4933670803,0.18887299496887724,6645301.909327037,9774243.983628336,12759815.953547483,6114514.044220447,,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,17362721.87217289,23996861.34240681,4760509.328098767,0.19838049902326532,17989795.036688898,22104821.89179375,31411178.202684548,13421383.16599565,,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,7024263.175848138,8844650.066058468,1675670.0250358037,0.18945577411436806,6990747.145992933,7946404.697651722,11396406.733437065,4405659.587444132,,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,3402315.616153554,4391447.8732291125,912691.6846111362,0.20783388781067716,3226232.9874528004,4017733.0300468057,6033133.669115553,2806900.6816627523,,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,6031509.547410639,7638293.706962914,1116058.8068920108,0.14611362821445767,6261855.195339582,7330664.423680276,9417044.603381533,3155189.4080419512,,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,17362721.87217289,24122048.481412776,4739581.449423477,0.19648337300522206,18095973.07324542,22620458.318045307,31352218.007608406,13256244.934362985,,500,0.15
47.960.950/0001-21,Magazine Luiza,Varejo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,916952.4453845848,1428387.2884643606,622918.9005022687,0.4360994427302417,608481.4443698247,1320381.6827586992,2572096.8784157275,1963615.434045903,0.0,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,7923466.303384951,8645408.308021126,1659327.3088765854,0.1919316300349953,6456954.661798454,8358235.920833752,11963805.504441578,5506850.842643124,,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,755853.8517622777,1021749.5652217688,185458.48798885386,0.18151070898532798,763264.2854190819,1017366.5225906703,1365964.771745046,602700.486325964,0.0,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6348265.760900994,9216749.020397888,1634395.7836247403,0.1773288802817138,6551314.67602956,8871972.498869576,12209565.465231784,5658250.7892022235,,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,16254661.12963361,23199681.37409523,4757659.104107513,0.2050743295733327,17204181.494249847,21560153.046099335,30108506.738887124,12904325.244637277,,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,6712289.311848294,8410916.018596686,1654643.0222654436,0.19672566205714076,6396449.512557492,8332292.014095858,11026701.572597027,4630252.060039535,,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,2992563.4519414683,4008267.2869636957,796724.3056046797,0.19877025371933385,2934220.7605417506,3744915.189147167,5380769.391156966,2446548.6306152153,,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,6013829.570368367,7693023.9700664235,1189119.3354797554,0.15457112055111513,6215114.60667828,7614571.477626431,9549255.635780338,3334141.029102058,,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,16254661.12963361,23025694.451320365,4667361.935103098,0.20270233086652711,17213101.59611754,21318883.37108141,29954612.740404904,12741511.144287363,,500,0.15
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,1377012.6506423112,2085414.9797124704,688324.5490770234,0.33006598483910726,1283046.286387951,1964599.0461619329,3449703.1610936504,2166656.8747056993,0.0,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,8069052.706298901,8784865.295178624,1824077.4611220036,0.2076386375694466,6472352.289857231,8423339.863353178,12216495.793083442,5744143.503226211,,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,755853.8517622777,1001998.0969523848,180015.62267013922,0.1796566512627754,756368.1182947377,1001964.1328748015,1342816.1897834186,586448.0714886809,0.0,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6345834.861035957,9281379.581584435,1686592.8885866317,0.18171790882608332,6554352.298957656,8998542.084486526,12354129.304408697,5799777.005451041,,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,16054135.251546582,22872140.479833122,4549427.757937118,0.1989069524100051,17134575.537740245,21184061.918809388,29990037.73412275,12855462.196382504,,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,6291433.008619996,8035911.865303385,1718901.3483158585,0.21390246398016757,6274686.198880146,7648352.334220608,10618057.456424605,4343371.257544459,,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,3106383.4767708057,4079750.218264264,813215.8455110642,0.1993298123670542,3069427.258958022,3845137.10906123,5620721.202635631,2551293.943677609,,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,6018790.85637144,7759738.541048018,1206377.079772494,0.1554662020364365,6118084.819016373,8006008.294326466,9598532.551632838,3480447.7326164655,,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,16054135.251546582,22857674.67694616,4656811.082213902,0.20373074461991,17128561.944687046,21084452.744332545,29699286.879984736,12570724.93529769,,500,0.15
61.079.117/0001-05,Alpargatas,Varejo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,1367945.656458585,2085985.0926922432,666743.7075773712,0.3196301401736525,1242597.5641921402,1976007.3230281577,3375742.840088057,2133145.275895917,0.0,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,9214159.81597251,10123113.890595984,2109630.7638036855,0.2083974147286299,7390481.668775376,9981636.41102251,14449200.972646419,7058719.303871043,,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,1985.3856617520014,2519.2958127093016,1400.9520075568075,0.5560887294335616,100.02338926417059,2308.373584926938,5029.661285393528,4929.637896129357,0.0,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6355037.742350423,9218697.250781056,1608907.5430597144,0.17452656262503896,6536481.135486484,8843265.921492718,12251573.25994969,5715092.124463206,,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,16311302.907653388,23174608.987301964,4564195.933853788,0.1969481313084783,17530437.323336463,21305174.569583334,29867710.268724967,12337272.945388503,,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,2178845.6366028786,4273143.7876473935,1743024.9317289041,0.4079022420840506,2215815.6931826067,4414439.670747916,7029643.272093823,4813827.578911217,,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,3322395.8408218194,4297519.076067699,888993.5657869297,0.20686204064517463,3089591.8804104687,3960641.4674516683,5876300.451071339,2786708.57066087,,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,6014722.223571907,7679997.504976331,1203911.2872179856,0.15675933311669688,6102727.855810671,7235842.439038424,9625544.443279887,3522816.5874692155,,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,16311302.907653388,23260713.20434118,4744564.7926137205,0.20397331547547887,17134862.757726043,21416264.10254477,30593210.09526903,13458347.337542988,,500,0.15
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,772945.1615995445,1126058.0030872482,591705.9066890489,0.5254666323287104,339047.38123607985,1029184.0395695105,2258814.072240352,1919766.6910042723,0.0,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,8326001.634174015,9029242.217633968,1713205.7045740075,0.18973969944323166,6849348.411413837,8799196.086973697,12449203.431157446,5599855.019743608,,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,752769.4837500686,1017471.6369753381,170882.35637997245,0.167948029379923,786309.87425845,1012262.5972620859,1348249.4415756683,561939.5673172183,0.0,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6093082.398319401,9047450.456592,1517005.544574994,0.16767215823433432,6434665.423870415,8808164.78166588,11834061.59181905,5399396.167948634,,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,15879184.991388693,22772691.8904471,4460712.48252796,0.19587989439224712,17354583.165418126,20998448.092407107,29349823.858217858,11995240.692799732,,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,2830118.212558818,5210873.314633593,2090407.547601058,0.4011626115972936,2650984.9094427726,5267758.585306011,9083842.385483658,6432857.476040885,,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,2905593.2888630996,4075894.4185590567,840939.3378875352,0.20632019663179374,3055790.3973209364,3707397.0927422214,5542150.276278695,2486359.8789577587,,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,6076567.327901232,7668403.070023106,1184627.439546694,0.154481634406722,6124521.939562434,7345428.067313209,9530641.046383582,3406119.1068211477,,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,15879184.991388693,22356703.981523447,4647851.855019934,0.20789521831398405,17371958.64256474,20164124.543392316,29691989.250454236,12320030.607889496,,500,0.15
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,894177.3452225912,1338022.8304899714,703489.8283439263,0.5257681799691826,262027.47466491777,1308297.3090401387,2723029.926767572,2461002.452102654,0.0,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,8221246.88646111,8927226.236521458,1714731.7482245981,0.19207889469739176,6656540.796567521,8672039.88342527,12437752.963772401,5781212.16720488,,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,785852.7971198716,1042922.5305214061,186922.93761953403,0.17922993525327566,788979.3484184663,1030348.2480373476,1407775.125365959,618795.7769474927,0.0,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6330330.011586257,9185317.827645745,1621357.077243375,0.17651616500013248,6505756.658594686,8929174.100342128,12222616.074905876,5716859.41631119,,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,16307230.912931046,22854408.45717127,4726204.379127709,0.20679618061366703,17107890.898555174,20971911.684460394,30016386.98412244,12908496.085567266,,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,7335033.984036102,9118365.284370564,1697812.65791458,0.1861970435451555,7183692.539086673,9763285.622538034,11556771.224359402,4373078.685272729,,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,3264502.6320826923,4183134.139236846,859303.6312729558,0.20542100795020732,3039189.3830017704,3808936.8211813234,5675485.552671546,2636296.1696697758,,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,5987536.293177631,7612214.819841039,1213813.15497451,0.15945597749169368,6130817.891555376,7091497.520385377,9633781.74794937,3502963.856393993,,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,16307230.912931046,23241444.123839863,4687766.094404494,0.20169857214664333,17385626.902058717,21998099.55392264,30000062.11392129,12614435.211862572,,500,0.15
84.429.695/0001-11,WEG,Tecnologia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,1301349.0704003465,1837213.2991383066,664554.4552257932,0.3617187266919327,652768.5405707941,1801674.884255368,3061543.9759067455,2408775.4353359514,0.0,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,20711369.18246299,16345159.600186005,3509674.3213779978,0.2147225482789448,10989265.563817982,16416028.10793307,21956593.171706337,10967327.607888356,,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,887.8808281323286,930.8316743142046,557.4806733510268,0.5989059985112278,39.6280524954919,802.8861657620098,1970.5990464303818,1930.97099393489,0.0,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6337116.307218059,9242787.11828033,1593808.3414864386,0.17243806668815445,6578863.355474286,8951175.593624447,12138487.327215012,5559623.971740726,,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,17140811.693728473,23546034.69868828,4826253.278414404,0.20497095753805494,17756261.16538079,21893314.69488448,30865568.614012238,13109307.448631447,,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,8226701.66390877,9851057.51431447,1630102.7991068244,0.16547490426668798,7951599.276853772,10442847.482117925,12023697.911488812,4072098.6346350405,,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,3513696.4267348694,4482255.427511971,930849.4806934868,0.20767434960978706,3210371.0022416506,4171795.5190165695,6220853.605591479,3010482.603349828,,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,5695095.237478423,7348682.06741827,1286668.15969067,0.17508828765301324,5880644.161389785,6819663.240061123,9467286.708173798,3586642.5467840135,,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,17140811.693728473,23770193.465477295,4596550.81718339,0.19337456482460705,17981038.495384403,22445807.56605995,30403741.537581112,12422703.04219671,,500,0.15
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,1391605.232824953,1871860.0083350118,692579.5500207508,0.3699953772914828,776467.7048770504,1806702.8895271458,3090363.967708394,2313896.2628313433,0.0,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,7994238.271562764,8504711.54896941,1544438.5610092022,0.1815979944900489,6462554.614281737,8354233.875485126,11572515.261796648,5109960.64751491,,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,748707.2146912128,956053.5874163577,191071.97255393135,0.19985487745544145,692185.7782810924,948965.8363833267,1262857.0402394189,570671.2619583264,0.0,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6348265.760900994,9169924.617072925,1669623.6195262566,0.18207604634150273,6553666.026214581,8758131.32430688,12269352.178337567,5715686.152122986,,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,16044609.005729973,22949627.969379447,4547157.834375213,0.19813645085847406,17309600.343868937,21347801.243971385,29762196.779513285,12452596.435644347,,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,6755058.04447035,8505539.705962855,1699649.1609075344,0.19982849056785731,6583386.078655462,7493892.682323629,11169297.560375713,4585911.481720251,,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,3200082.8721260936,4087060.991553057,830970.2122506752,0.203317301593513,2944236.3543924927,3786474.6899436973,5640209.717677395,2695973.363284902,,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,5831486.694422525,7413104.041993753,1113396.603925969,0.15019303622595875,5992095.386238367,6967936.347733155,9188162.266008569,3196066.8797702016,,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,16044609.005729973,23103748.98216016,4645401.098769089,0.20106698278085053,16992541.161197923,22441974.30660989,29630973.21272092,12638432.051522996,,500,0.15
92.754.738/0001-62,Lojas Renner,Varejo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,1391405.3910601041,2158889.085863987,636714.1950936534,0.29492677472999523,1418400.565715979,1999998.767031598,3512614.3051354415,2094213.7394194624,0.0,500,0.15
