Algoritmo,SMAPE_teste_macro_empresa,RMSE_teste_macro_empresa,R2_teste_macro_empresa,TheilU_teste_macro_empresa,DA_teste_macro_empresa
Ensemble,0.2417062980062951,1669769.2067079819,-1.1130975857966428,1.0871995405093924,0.3731481481481482
GradientBoosting,0.22277642578003848,1639099.99969817,-1.009452638996773,1.08026200696348,0.40555555555555556
RandomForest,0.2717279959158066,2040624.8623141067,-2.0108108627178334,1.2663284642987518,0.3402777777777778
Ridge,0.49067290082220794,6252004.542134307,-57.08862672430577,1.6898694691731917,0.2905092592592593
SVR,0.9569489326936113,13104467.040847756,-227.2174292847416,1.795338082009538,0.22083333333333333
