CNPJ_CIA,DT_REFER,ANO,Target,Variavel,Horizonte,Algoritmo,SchemaHash,SchemaLen,ModoEscala,y_true,y_pred,lb_90,ub_90,width_90,coberto,q_hat,alpha
07.859.971/0001-30,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,1037354.0,13.841885092653962,-100142099.37400976,100142127.05777994,200284226.4317897,True,100142113.21589485,0.1
10.629.105/0001-68,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,7768599.0,15.853879556326959,-100142097.36201529,100142129.0697744,200284226.4317897,True,100142113.21589485,0.1
10.629.105/0001-68,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,11331681.0,16.507763295130403,-100142096.70813155,100142129.72365814,200284226.4317897,True,100142113.21589485,0.1
10.629.105/0001-68,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,6529947.0,15.535437615336445,-100142097.68045723,100142128.75133246,200284226.4317897,True,100142113.21589485,0.1
10.629.105/0001-68,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,6529947.0,15.402514223386978,-100142097.81338063,100142128.61840907,200284226.4317897,True,100142113.21589485,0.1
16.404.287/0001-55,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,24848816.0,16.97823311956701,-100142096.23766173,100142130.19412796,200284226.4317897,True,100142113.21589485,0.1
16.404.287/0001-55,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,37001961.0,17.356015015484278,-100142095.85987984,100142130.57190986,200284226.4317897,True,100142113.21589485,0.1
16.404.287/0001-55,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,10968416.0,16.70015185034522,-100142096.515743,100142129.9160467,200284226.4317897,True,100142113.21589485,0.1
16.404.287/0001-55,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,10968416.0,15.955286846251466,-100142097.260608,100142129.1711817,200284226.4317897,True,100142113.21589485,0.1
16.590.234/0001-76,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,5597923.0,15.1430903524681,-100142098.0728045,100142128.3589852,200284226.4317897,True,100142113.21589485,0.1
16.590.234/0001-76,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,8556113.0,15.811717191825966,-100142097.40417765,100142129.02761205,200284226.4317897,True,100142113.21589485,0.1
16.590.234/0001-76,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,2479523.0,14.881319355396432,-100142098.33457549,100142128.0972142,200284226.4317897,True,100142113.21589485,0.1
