feature,importancia_total,rank,familia
TARGET_DFC_MI_6.01_ITR_T1_lag4,0.005986242047939441,200,Lag/Roll
macro_cambio_lag2,0.005959912639930261,201,Macro
TARGET_DFC_MI_6.01_DFP_roll2_mean,0.005919499526707826,202,Lag/Roll
TARGET_DRE_3.01_ITR_T1_lag4,0.005822998514160649,203,Lag/Roll
flag_dfp,0.00571187744730842,204,Temporal
TARGET_BPP_2_DFP_diff1,0.005400131835278547,205,Outro
setor_Petróleo,0.005343570577537253,206,Setor dummy
TARGET_DFC_MI_6.01_DFP_lag4,0.005314196879676207,207,Lag/Roll
endividamento_lag2,0.0052926006889004035,208,Lag/Roll
macro_pib_tri_lag1,0.005037669302984679,209,Macro
TARGET_BPP_2.01_ITR_T2_lag4,0.004980921582948066,210,Lag/Roll
alavancagem_de_lag2,0.004790871997019002,211,Lag/Roll
TARGET_BPP_2.01_ITR_T3_lag2,0.004765712576916294,212,Lag/Roll
TARGET_BPA_1.01_ITR_T3_lag2,0.004593412884570827,213,Lag/Roll
TARGET_BPA_1.01_DFP_lag1,0.004339826848127529,214,Lag/Roll
endividamento,0.004319759509752989,215,KPI base
margem_liquida_roll4_mean,0.004302365010322587,216,Lag/Roll
flag_covid,0.004302360622878339,217,Temporal
TARGET_BPP_2.03_DFP_lag4,0.004190945142380632,218,Lag/Roll
macro_cambio_roll4_mean,0.004164638929437107,219,Macro
TARGET_DRE_3.11_DFP_diff1,0.004015955504789794,220,Outro
prop_BPA_1,0.0037567631525940084,221,Outro
macro_cambio_roll2_mean,0.0035952120159857656,222,Macro
setor_Varejo,0.0035829038440252127,223,Setor dummy
margem_bruta_lag1,0.0031624420784019686,224,Lag/Roll
TARGET_BPP_2.03_ITR_T2_roll2_mean,0.0031060805806064234,225,Lag/Roll
fco_receita_roll4_mean,0.00304862224262387,226,Lag/Roll
TARGET_BPP_2.01_DFP_lag4,0.002872628962914349,227,Lag/Roll
TARGET_BPA_1.01_ITR_T1_lag4,0.002782805211363939,228,Lag/Roll
macro_selic_diff1,0.0026411606247853745,229,Macro
margem_bruta_lag2,0.0021117501709111437,230,Lag/Roll
TARGET_DFC_MI_6.01_DFP_lag2,0.0020499752590310305,231,Lag/Roll
margem_ebit_roll4_mean,0.0019939820191052435,232,Lag/Roll
TARGET_BPP_2.03_ITR_T2_lag2,0.0019328766325750564,233,Lag/Roll
TARGET_BPA_1.01_ITR_T2_diff1,0.0018012517318504034,234,Outro
margem_liquida_lag2,0.0017236987431504334,235,Lag/Roll
tri_4,0.0015343487143512254,236,Sazonalidade
margem_ebitda_roll4_mean,0.0014927937156337973,237,Lag/Roll
int_setor_Energia_macro_selic,0.001446584053231389,238,Outro
margem_ebitda_roll2_mean,0.0014317526372503858,239,Lag/Roll
setor_Energia,0.0012811944057878153,240,Setor dummy
TARGET_BPP_2_ITR_T1_diff1,0.0010297558844966862,241,Outro
TARGET_BPA_1_DFP_diff1,0.0008269047909809623,242,Outro
margem_ebitda_lag2,0.0008168547671369272,243,Lag/Roll
TARGET_DFC_MI_6.01_ITR_T3_lag4,0.000566277244093402,244,Lag/Roll
TARGET_DFC_MI_6.01_ITR_T2_lag4,0.0005649742103833081,245,Lag/Roll
TARGET_BPP_2.01_ITR_T3_roll4_mean,0.0005413017916921005,246,Lag/Roll
TARGET_DRE_3.01_ITR_T2_lag2,0.000512561622028271,247,Lag/Roll
endividamento_yoy,0.0003077487314415543,248,YoY
roa_roll2_mean,0.00027338520186805614,249,Lag/Roll
roe_roll2_mean,0.0002533930891166566,250,Lag/Roll
margem_ebit_roll2_mean,0.00023518977867079496,251,Lag/Roll
TARGET_BPP_2.01_ITR_T3_lag4,0.0002285947281290967,252,Lag/Roll
macro_pib_tri_roll4_mean,0.0002043585693749519,253,Macro
roa_yoy,0.00018622071455197563,254,YoY
margem_ebit_lag2,0.00018205930239189994,255,Lag/Roll
margem_fcf_lag2,0.00011495762710135308,256,Lag/Roll
margem_fcf_lag1,0.00010671499399587512,257,Lag/Roll
TARGET_DFC_MI_6.01_ITR_T1_lag2,8.953251459749741e-05,258,Lag/Roll
TARGET_DFC_MI_6.01_ITR_T1_roll2_mean,6.251728396079409e-05,259,Lag/Roll
TARGET_BPP_2_ITR_T3_diff1,2.5699958032186245e-05,260,Outro
int_setor_Energia_macro_cambio,7.208355543056632e-06,261,Outro
