empresa,setor,ano,margem_ebitda,margem_liquida,roe,roa,liquidez_corrente,liquidez_imediata,endividamento,cobertura_juros,giro_ativo,fco_receita
CSN Mineração,Commodities,2015,1.6197545475915107,0.10539829108707806,0.18498321192106426,0.03321586564465584,3.0852449436877287,1.4760956149115279,0.7046769439177912,1.5349979988437763,0.31514614992394446,0.3306295286440281
CSN Mineração,Commodities,2016,0.6853260803329697,-0.0497440397076229,-0.11551974732010377,-0.01932022656442032,2.264077808380072,0.88620027751282,0.6894342056596352,0.7712714778267121,0.38839279395034015,0.016089499129071993
CSN Mineração,Commodities,2017,0.6288834507150788,0.0060043938328280325,0.013420116649769208,0.0024602759081680434,1.1135370499669637,0.3197334595433011,0.6527507981093551,1.2112081090197502,0.409745925511563,0.030869814685887162
CSN Mineração,Commodities,2018,1.1321948801607045,0.226418609349126,0.5193602797839704,0.10988495827501985,1.0503499918521155,0.19652872146754238,0.6090974461288108,4.644530813837259,0.48531769800592145,0.09613461863734352
CSN Mineração,Commodities,2019,0.682119223002202,0.08824006148350218,0.19754659682877876,0.04412311667262573,1.0951679941672763,0.09371420221262437,0.5497824659427039,1.6619480063664143,0.5000349719937041,0.19153165321986976
CSN Mineração,Commodities,2020,0.9096274217486551,0.14278256866513528,0.3815150062147242,0.06813446950833375,1.5881214714740817,0.6753219678037629,0.5598325384107136,7.176137212722165,0.47719038917228046,0.3185493490225193
CSN Mineração,Commodities,2021,1.261394656987986,0.2837621041342031,0.5264194383099654,0.1712745607619174,1.4250224598086776,0.6782960013717109,0.4095224154901322,10.564824111298108,0.6035850392514513,0.30875878607462315
CSN Mineração,Commodities,2022,0.5963401658892767,0.04886371525977568,0.09936256087492307,0.02539645339027149,1.362055524600337,0.5335391550095908,0.479398386671734,2.1739424328418715,0.5197405325251169,0.04604813746502647
CSN Mineração,Commodities,2023,0.5055383220413773,0.008861513338519894,0.02045477844420157,0.004399106650823361,1.3222034541729313,0.6414099186464556,0.49010392471428954,1.2494029699025528,0.4964283732103627,0.16049597307977143
CSN Mineração,Commodities,2024,0.6861042047306023,-0.03520783767241217,-0.09949734512633193,-0.014803103947510426,1.5840476420357554,0.9280839369378068,0.5477476062312622,0.734517373826649,0.42044910810043024,0.19800887943588388
CSN Mineração,Commodities,2025,0.5254788244086013,-0.03363381883624754,-0.09574812456509928,-0.01498106360415143,1.0803661015147643,0.5136716194708211,0.5262177760441525,0.74146115139454,0.44541667055678413,-0.02172374153047106
Gerdau,Commodities,2015,0.4500498276311131,-0.10545789643759801,-0.14375761466479772,-0.06556822997867072,2.8204769890898307,0.7183082452555509,0.3775014887357618,-1.1169253769500531,0.6217479410607154,0.16434405803175728
Gerdau,Commodities,2016,0.3870368342522524,-0.07664810697491826,-0.11888651920173689,-0.052821845925134524,2.0642256477375365,0.587296608981096,0.3767398165953301,-1.731130753077212,0.689147429856546,0.09339204025149803
Gerdau,Commodities,2017,0.34631984256622833,-0.00917358727820448,-0.014173760619899414,-0.0067327066342667405,2.3310647228718246,0.33125463435881214,0.32821085528198507,0.9621497566795062,0.7339229932725417,0.05623677951711891
Gerdau,Commodities,2018,0.364196232895008,0.05039879350455393,0.0896881327811004,0.04536535333563607,2.058156313082407,0.33984689778161586,0.2906867176943739,2.1416217102913278,0.9001277645969233,0.04332117880535824
Gerdau,Commodities,2019,0.3458006392390679,0.03069535599451216,0.04478273700336365,0.022533705090664456,2.456141440200244,0.3558002337384809,0.2972034130715403,2.1096637057435195,0.7341079573956766,0.04143859311911181
Gerdau,Commodities,2020,0.5039210277126188,0.054503537069475444,0.07682283632634297,0.03783175165176299,2.03877037587844,0.40212040557237444,0.27747965880397113,3.0578463501945894,0.6941155324201987,0.1462502699724186
Gerdau,Commodities,2021,0.8991036463412425,0.19859495709756175,0.3633937208332402,0.21078398121521005,2.325347974262536,0.2964101397938307,0.19020208098903127,16.266443235759557,1.0240455047978836,0.15976667380049042
Gerdau,Commodities,2022,0.7336676082342652,0.13929431087941946,0.24794816506121525,0.15555232634872518,2.321800106532321,0.18390700861892678,0.17083496321856936,9.380262689267639,1.0240455047978836,0.13529958728203018
Gerdau,Commodities,2023,0.5783842425887104,0.10936406805765829,0.15306980179457028,0.10064723919072653,2.5874116894758985,0.26634898922532735,0.1454668765810212,9.44988617892059,0.9202953125121853,0.16162629509904944
Gerdau,Commodities,2024,0.45944136016572273,0.06861541772276392,0.07905729223124656,0.05297573989172522,3.0106207582051003,0.7158356933226349,0.1570761232228817,3.7001483083409976,0.7720675855355165,0.16980174275738893
Gerdau,Commodities,2025,0.3439532339442804,0.020304434682366358,0.026365759082936327,0.017364055446213604,2.893078376361073,0.5996680630538603,0.17361326777100847,3.0783824748625293,0.8551853680168519,0.11433755865353712
Klabin,Commodities,2015,2.1994697577479667,-0.22033888173002655,-0.23414002100016068,-0.04770779703808943,2.74349610014246,1.598118771335375,0.6860669448739882,0.4337158357148879,0.21652010150684212,0.30592857535943613
Klabin,Commodities,2016,1.4906801745022211,0.350023509342672,0.3495533169134531,0.08466838183569207,2.4036782422513023,1.4172770765197178,0.6300306248993433,0.7695698289674805,0.2418934145157718,0.16963520890032405
Klabin,Commodities,2017,1.1169363188906556,0.0635548759413465,0.07356343543285176,0.01741986892699959,3.1498639165507845,1.8755797790054953,0.6399248682656149,2.175619301806601,0.274091777680064,0.21412839597113614
Klabin,Commodities,2018,1.3469524815201697,0.018651098426879512,0.02859504410528942,0.00630423230706968,2.92907454488776,1.546215047477076,0.6562003321686363,0.9775305305771012,0.33800863427883543,0.2782395898112118
Klabin,Commodities,2019,1.404545184168093,0.06957059977283522,0.10991970341808442,0.020592349693897505,4.404523335791038,2.196490389547791,0.6940384142249959,1.5202196590783272,0.29599212542563225,0.2874971073826216
Klabin,Commodities,2020,1.8571738704341207,-0.1999775040058436,-0.3500319137138793,-0.06774801014372987,2.9849050995828943,1.4415027984165922,0.7467761579649212,0.45734899520296324,0.3387781564757913,0.4846719258864116
Klabin,Commodities,2021,1.3190154858316545,0.20658903242857943,0.4804918047361452,0.08092256180032815,2.493724197118532,1.149772538832108,0.6972769108787643,5.050032875943521,0.39170792780736874,0.2967740945119428
Klabin,Commodities,2022,1.3324640878395866,0.23406246956538407,0.40532461822713967,0.09855324459168162,1.935080125353039,0.7248725190544357,0.5788596331893839,16.266443235759557,0.4210553053408304,0.42035344313814127
Klabin,Commodities,2023,1.247472099173152,0.15797978544863225,0.20734619131753643,0.051364732083826935,2.702596968384383,1.5689432316015999,0.5653724048966451,9.764864312092529,0.32513483885271116,0.42126230231013534
Klabin,Commodities,2024,1.2423770431387433,0.10419534194093803,0.23699173343213079,0.03446567308570454,1.9291054469959068,0.9403669487835498,0.6685246807116627,2.0188175650956857,0.33077940379754234,0.3779703342240654
Klabin,Commodities,2025,1.250968582834638,0.08108276035369863,0.11653352059679326,0.026305576534062215,2.0587276863671526,1.1526813314509048,0.5755939990510806,2.1325388658252042,0.3244287246673919,0.30903451319040504
Suzano,Commodities,2015,1.5410467216484238,-0.09050482470249241,-0.10066860812040276,-0.032744320281840204,1.8769064546139749,0.4207989918457779,0.5205554072304002,0.6932325920372676,0.361796405765962,0.22991255883864037
Suzano,Commodities,2016,1.3539634901262487,0.1712147753263836,0.16680623067357264,0.05755229722544877,2.0965457349249608,0.4216057760646956,0.4766362737795948,1.196161111615657,0.3361409499602933,0.30389393657132696
Suzano,Commodities,2017,1.2350141957020337,0.17179631947790994,0.15552420958505206,0.06336760300868963,1.83285050573528,0.2903796095473933,0.4274397396457355,3.1976610655255,0.36885308836221964,0.2803966242078779
Suzano,Commodities,2018,1.4576797963345245,0.02369965042903988,0.026481101053681066,0.0059047726271309825,5.0834343729770755,0.7241601220596309,0.662632245509788,1.033711009139263,0.24915019927448764,0.38481233882120475
Suzano,Commodities,2019,1.2735165369556316,-0.10820541307310397,-0.15561404378789018,-0.028748779788419207,1.6450837362724477,0.28304484765700033,0.6504491936198414,0.39082122953453285,0.2656870758304524,0.2912563550077942
Suzano,Commodities,2020,2.447497965957434,-0.35176748392668916,-0.3500319137138793,-0.10525399086458578,2.1972816491926963,0.8363153098996515,0.7161035987672704,0.3236812234893661,0.2992146678529317,0.4308771059435868
